 ,Area,Mean,Min,Max
1,90,255,255,255
2,52,255,255,255
3,53,255,255,255
4,53,255,255,255
5,98,255,255,255
6,210,255,255,255
7,60,255,255,255
8,66,255,255,255
9,97,255,255,255
10,76,255,255,255
11,203,255,255,255
12,51,255,255,255
13,66,255,255,255
14,53,255,255,255
15,138,255,255,255
16,52,255,255,255
17,50,255,255,255
18,89,255,255,255
19,100,255,255,255
20,285,255,255,255
21,59,255,255,255
22,55,255,255,255
23,57,255,255,255
24,78,255,255,255
25,119,255,255,255
26,113,255,255,255
27,118,255,255,255
28,62,255,255,255
29,69,255,255,255
30,119,255,255,255
31,76,255,255,255
32,83,255,255,255
33,103,255,255,255
34,221,255,255,255
35,105,255,255,255
36,71,255,255,255
37,120,255,255,255
38,190,255,255,255
39,138,255,255,255
40,339,255,255,255
41,248,255,255,255
42,52,255,255,255
43,67,255,255,255
44,57,255,255,255
45,80,255,255,255
46,80,255,255,255
47,81,255,255,255
48,163,255,255,255
49,69,255,255,255
50,50,255,255,255
51,71,255,255,255
52,79,255,255,255
53,61,255,255,255
54,60,255,255,255
55,145,255,255,255
56,103,255,255,255
57,148,255,255,255
58,78,255,255,255
59,86,255,255,255
60,69,255,255,255
61,53,255,255,255
62,53,255,255,255
63,57,255,255,255
64,67,255,255,255
65,116,255,255,255
66,53,255,255,255
67,75,255,255,255
68,71,255,255,255
69,55,255,255,255
70,63,255,255,255
71,90,255,255,255
72,53,255,255,255
73,131,255,255,255
74,76,255,255,255
75,53,255,255,255
76,169,255,255,255
77,102,255,255,255
78,222,255,255,255
79,90,255,255,255
80,50,255,255,255
81,100,255,255,255
82,65,255,255,255
83,144,255,255,255
84,63,255,255,255
85,50,255,255,255
86,58,255,255,255
87,81,255,255,255
88,60,255,255,255
89,335,255,255,255
90,515,255,255,255
91,102,255,255,255
92,93,255,255,255
93,57,255,255,255
94,53,255,255,255
95,77,255,255,255
96,75,255,255,255
97,185,255,255,255
98,120,255,255,255
99,71,255,255,255
100,98,255,255,255
101,67,255,255,255
102,56,255,255,255
103,79,255,255,255
104,126,255,255,255
105,251,255,255,255
106,81,255,255,255
107,58,255,255,255
108,72,255,255,255
109,131,255,255,255
110,73,255,255,255
111,87,255,255,255
112,67,255,255,255
113,148,255,255,255
114,109,255,255,255
115,67,255,255,255
116,70,255,255,255
117,66,255,255,255
118,92,255,255,255
119,60,255,255,255
120,52,255,255,255
121,54,255,255,255
122,52,255,255,255
123,65,255,255,255
124,69,255,255,255
125,57,255,255,255
126,161,255,255,255
127,102,255,255,255
128,70,255,255,255
129,51,255,255,255
130,400,255,255,255
131,66,255,255,255
132,241,255,255,255
133,134,255,255,255
134,66,255,255,255
135,109,255,255,255
136,66,255,255,255
137,54,255,255,255
138,215,255,255,255
139,53,255,255,255
140,66,255,255,255
141,185,255,255,255
142,52,255,255,255
143,51,255,255,255
144,76,255,255,255
145,190,255,255,255
146,146,255,255,255
147,59,255,255,255
148,75,255,255,255
149,68,255,255,255
150,91,255,255,255
151,50,255,255,255
152,54,255,255,255
153,54,255,255,255
154,81,255,255,255
155,50,255,255,255
156,51,255,255,255
157,54,255,255,255
158,166,255,255,255
159,67,255,255,255
160,59,255,255,255
161,81,255,255,255
162,141,255,255,255
163,51,255,255,255
164,50,255,255,255
165,64,255,255,255
166,80,255,255,255
167,117,255,255,255
168,82,255,255,255
169,78,255,255,255
170,318,255,255,255
171,68,255,255,255
172,96,255,255,255
173,50,255,255,255
174,54,255,255,255
175,95,255,255,255
176,51,255,255,255
177,65,255,255,255
178,56,255,255,255
179,113,255,255,255
180,475,255,255,255
181,104,255,255,255
182,51,255,255,255
183,118,255,255,255
184,96,255,255,255
185,93,255,255,255
186,65,255,255,255
187,84,255,255,255
188,63,255,255,255
189,56,255,255,255
190,52,255,255,255
191,79,255,255,255
192,363,255,255,255
193,85,255,255,255
194,202,255,255,255
195,63,255,255,255
196,228,255,255,255
197,72,255,255,255
198,197,255,255,255
199,87,255,255,255
200,52,255,255,255
201,56,255,255,255
202,87,255,255,255
203,87,255,255,255
204,110,255,255,255
205,83,255,255,255
206,55,255,255,255
207,69,255,255,255
208,218,255,255,255
